1,51035612836@N01,Flickr API,1
2,95309787@N00,"Flickritis: Where 81,000 people are still happily infected!",1
3,2634513@N25,Brazil 2014,1
4,41978077@N00,Waterdroplets Galore,1
5,2464395@N25,#Sochi2014,2
